	location	date	total_cases_per_million	new_cases_per_million	new_deaths_per_million	reproduction_rate	total_tests_per_thousand	new_tests_per_thousand	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	population	life_expectancy
95929	United Kingdom	2021-03-21	63491.659	78.897	0.501	0.96	1658.702	27.897	44.6	41.24	3.36	67886004.0	81.32
95930	United Kingdom	2021-03-22	63571.307	79.648	0.265	0.96	1678.264	17.545	45.21	41.73	3.48	67886004.0	81.32
95931	United Kingdom	2021-03-23	63651.103	79.796	1.65	0.96	1691.679	12.373	45.94	42.21	3.73	67886004.0	81.32
95932	United Kingdom	2021-03-24	63733.977	82.874	1.444	0.95	1719.131	26.719	46.79	42.71	4.09	67886004.0	81.32
95933	United Kingdom	2021-03-25	63826.441	92.464	0.928	0.94	1740.33	18.786	47.62	43.18	4.43	67886004.0	81.32
95934	United Kingdom	2021-03-26	63918.286	91.845	1.046	0.92	1751.513	10.647	48.64	43.79	4.85	67886004.0	81.32
95935	United Kingdom	2021-03-27	63975.868	57.582	0.854	0.87	1758.893	6.943	49.62	44.42	5.2	67886004.0	81.32
95936	United Kingdom	2021-03-28	64034.009	58.142	0.309	0.85	1783.458	24.187	50.27	44.85	5.42	67886004.0	81.32
95937	United Kingdom	2021-03-29	64104.465	70.456	0.339	0.84	1798.491	14.323	50.87	45.2	5.67	67886004.0	81.32
95938	United Kingdom	2021-03-30	64164.434	59.968	0.81	0.81	1809.271	10.245	51.61	45.53	6.08	67886004.0	81.32
95939	United Kingdom	2021-03-31	64225.05	60.616	0.633	0.79	1828.76	18.659	52.53	45.88	6.65	67886004.0	81.32
95940	United Kingdom	2021-04-01	64292.295	67.245	0.751	0.76	1844.644	14.041	53.44	46.13	7.3	67886004.0	81.32
95941	United Kingdom	2021-04-02	64342.703	50.408	0.766	0.74	1853.761	8.185	53.96	46.29	7.67	67886004.0	81.32
95942	United Kingdom	2021-04-03	64393.141	50.437	0.147	0.73	1860.248	5.975	54.38	46.45	7.93	67886004.0	81.32
95943	United Kingdom	2021-04-04	64428.568	35.427	0.147	0.72	1872.67	11.986	54.52	46.52	8.0	67886004.0	81.32
95944	United Kingdom	2021-04-05	64470.27	41.702	0.412	0.7	1885.518	10.92	54.68	46.58	8.1	67886004.0	81.32
95945	United Kingdom	2021-04-06	64505.682	35.412	0.295	0.71	1896.007	9.307	55.08	46.71	8.37	67886004.0	81.32
95946	United Kingdom	2021-04-07	64546.884	41.201	0.663	0.73	1912.01	15.233	55.83	46.85	8.97	67886004.0	81.32
95947	United Kingdom	2021-04-08	64592.902	46.018	0.781	0.76	1927.489	13.723	56.63	47.0	9.64	67886004.0	81.32
95948	United Kingdom	2021-04-09	64522.387	-70.515	0.884	0.8	1938.561	9.962	57.45	47.15	10.3	67886004.0	81.32
95949	United Kingdom	2021-04-10	64562.351	39.964	0.589	0.84	1946.221	7.102	58.32	47.32	11.0	67886004.0	81.32
95950	United Kingdom	2021-04-11	64587.835	25.484	0.103	0.88	1964.703	17.942	58.7	47.42	11.28	67886004.0	81.32
95951	United Kingdom	2021-04-12	64642.132	54.297	0.221	0.93	1979.754	12.88	59.08	47.51	11.57	67886004.0	81.32
95952	United Kingdom	2021-04-13	64679.032	36.9	0.339	0.91	1990.867	10.004	59.65	47.62	12.04	67886004.0	81.32
95953	United Kingdom	2021-04-14	64716.285	37.254	0.56	0.9	2008.715	17.129	60.33	47.79	12.54	67886004.0	81.32
95954	United Kingdom	2021-04-15	64757.03	40.745	0.457	0.89	2025.142	14.558	61.14	47.98	13.16	67886004.0	81.32
95955	United Kingdom	2021-04-16	64798.379	41.349	0.501	0.9	2036.377	10.045	62.08	48.18	13.89	67886004.0	81.32
95956	United Kingdom	2021-04-17	64831.861	33.483	0.53	0.91	2044.19	7.26	63.02	48.39	14.63	67886004.0	81.32
95957	United Kingdom	2021-04-18	64859.614	27.752	0.147	0.94	2069.452	24.656	63.47	48.51	14.95	67886004.0	81.32
95958	United Kingdom	2021-04-19	64904.601	44.987	0.088	0.96	2087.39	15.34	64.02	48.66	15.36	67886004.0	81.32
95959	United Kingdom	2021-04-20	64941.869	37.268	0.486	0.95	2099.516	10.756	64.69	48.82	15.87	67886004.0	81.32
95960	United Kingdom	2021-04-21	64977.576	35.707	0.295	0.93	2120.454	20.201	65.48	48.99	16.49	67886004.0	81.32
95961	United Kingdom	2021-04-22	65018.321	40.745	0.295	0.92	2139.085	16.379	66.31	49.18	17.12	67886004.0	81.32
95962	United Kingdom	2021-04-23	65058.889	40.568	0.604	0.92	2150.991	10.65	67.19	49.38	17.81	67886004.0	81.32
95963	United Kingdom	2021-04-24	65090.147	31.258	0.471	0.91	2158.919	7.405	68.22	49.6	18.61	67886004.0	81.32
95964	United Kingdom	2021-04-25	65115.675	25.528	0.162	0.91	2181.259	21.768	68.72	49.72	19.0	67886004.0	81.32
95965	United Kingdom	2021-04-26	65146.889	31.214	0.103	0.91	2199.155	15.234	69.3	49.85	19.45	67886004.0	81.32
95966	United Kingdom	2021-04-27	65186.618	39.728	0.25	0.93	2211.08	10.757	70.03	50.02	20.01	67886004.0	81.32
95967	United Kingdom	2021-04-28	65218.009	31.391	0.427	0.91	2231.927	20.044	70.91	50.22	20.69	67886004.0	81.32
95968	United Kingdom	2021-04-29	65254.231	36.222	0.368	0.89	2249.995	15.8	71.81	50.4	21.41	67886004.0	81.32
95969	United Kingdom	2021-04-30	65289.54	35.309	0.236	0.89	2261.025	9.835	72.65	50.62	22.03	67886004.0	81.32
95970	United Kingdom	2021-05-01	65317.691	28.15	0.103	0.89	2268.685	7.154	73.41	50.83	22.58	67886004.0	81.32
95971	United Kingdom	2021-05-02	65342.35	24.659	0.206	0.89	2281.474	12.269	73.8	50.96	22.84	67886004.0	81.32
95972	United Kingdom	2021-05-03	65367.008	24.659	0.015	0.89	2299.352	15.758	74.09	51.07	23.02	67886004.0	81.32
95973	United Kingdom	2021-05-04	65396.234	29.225	0.088	0.92	2314.008	12.674	74.66	51.26	23.4	67886004.0	81.32
95974	United Kingdom	2021-05-05	65427.978	31.744	0.398	0.96	2332.783	17.893	75.46	51.46	24.0	67886004.0	81.32
95975	United Kingdom	2021-05-06	65466.543	38.565	0.191	0.99	2350.718	15.726	76.36	51.66	24.7	67886004.0	81.32
95976	United Kingdom	2021-05-07	65503.222	36.679	0.221	1.0	2361.936	10.443	77.24	51.86	25.38	67886004.0	81.32
95977	United Kingdom	2021-05-08	65533.508	30.286	0.074	1.01	2369.696	7.226	78.13	52.1	26.03	67886004.0	81.32
95978	United Kingdom	2021-05-09	65559.581	26.073	0.029	1.03	2389.691	19.479	78.56	52.25	26.3	67886004.0	81.32
95979	United Kingdom	2021-05-10	65594.611	35.029	0.074	1.05	2406.169	14.075	79.07	52.42	26.65	67886004.0	81.32
95980	United Kingdom	2021-05-11	65631.29	36.679	0.295	1.05	2417.725	10.475	79.78	52.62	27.16	67886004.0	81.32
95981	United Kingdom	2021-05-12	65665.111	33.821	0.162	1.02	2435.878	17.455	80.72	52.89	27.83	67886004.0	81.32
95982	United Kingdom	2021-05-13	65704.339	39.228	0.162	1.0	2416.006	14.478	81.66	53.2	28.46	67886004.0	81.32
95983	United Kingdom	2021-05-14	65736.717	32.378	0.265	0.98	2427.144	9.937	82.56	53.53	29.04	67886004.0	81.32
95984	United Kingdom	2021-05-15	65767.061	30.345	0.103	1.0	2434.372	6.779	83.49	53.87	29.61	67886004.0	81.32
95985	United Kingdom	2021-05-16	65795.433	28.371	0.059	1.02	2450.935	16.004	83.95	54.07	29.88	67886004.0	81.32
95986	United Kingdom	2021-05-17	65824.791	29.358	0.074	1.04	2468.841	14.246	84.49	54.23	30.27	67886004.0	81.32
95987	United Kingdom	2021-05-18	65789.997	-34.794	0.103	1.08	2480.695	10.783	85.23	54.48	30.74	67886004.0	81.32
95988	United Kingdom	2021-05-19	65821.609	31.612	0.044	1.12	2498.824	17.392	86.16	54.87	31.29	67886004.0	81.32
95989	United Kingdom	2021-05-20	65861.367	39.758	0.103	1.16	2515.601	14.467	87.17	55.27	31.91	67886004.0	81.32
95990	United Kingdom	2021-05-21	65901.257	39.89	0.133	1.18	2527.206	10.538	88.13	55.59	32.53	67886004.0	81.32
95991	United Kingdom	2021-05-22	65938.437	37.18	0.088	1.2	2535.058	7.352	89.25	55.89	33.36	67886004.0	81.32
95992	United Kingdom	2021-05-23	65969.268	30.831	0.074	1.19	2552.775	17.173	89.81	56.08	33.73	67886004.0	81.32
95993	United Kingdom	2021-05-24	66004.18	34.911	0.044	1.2	2568.935	13.947	90.48	56.26	34.22	67886004.0	81.32
95994	United Kingdom	2021-05-25	66039.783	35.604	0.221	1.22	2580.923	10.929	91.32	56.53	34.79	67886004.0	81.32
95995	United Kingdom	2021-05-26	66083.843	44.059	0.133	1.25	2598.391	16.676	92.3	56.88	35.42	67886004.0	81.32
95996	United Kingdom	2021-05-27	66133.691	49.848	0.147	1.28	2614.484	14.127	93.32	57.26	36.06	67886004.0	81.32
95997	United Kingdom	2021-05-28	66193.055	59.364	0.147	1.31	2625.425	10.005	94.26	57.56	36.7	67886004.0	81.32
95998	United Kingdom	2021-05-29	66240.797	47.742	0.103	1.31	2633.073	7.193	95.15	57.83	37.32	67886004.0	81.32
95999	United Kingdom	2021-05-30	66286.668	45.871	0.088	1.3	2642.673	9.218	95.64	58.01	37.62	67886004.0	81.32
96000	United Kingdom	2021-05-31	66335.19	48.523	0.029	1.3	2652.727	8.868	96.06	58.15	37.91	67886004.0	81.32
96001	United Kingdom	2021-06-01	66380.885	45.694	0.0	1.32	2663.542	9.794	96.72	58.31	38.41	67886004.0	81.32
96002	United Kingdom	2021-06-02	66443.696	62.811	0.177	1.37	2676.85	12.59	97.49	58.57	38.92	67886004.0	81.32
96003	United Kingdom	2021-06-03	66520.015	76.319	0.265	1.44	2690.166	11.877	98.33	58.85	39.48	67886004.0	81.32
96004	United Kingdom	2021-06-04	66610.52	90.505	0.162	1.48	2700.832	9.88	99.16	59.11	40.05	67886004.0	81.32
96005	United Kingdom	2021-06-05	66693.821	83.301	0.191	1.48	2708.512	7.201	100.16	59.41	40.75	67886004.0	81.32
96006	United Kingdom	2021-06-06	66770.788	76.967	0.059	1.46	2727.333	18.296	100.73	59.6	41.13	67886004.0	81.32
96007	United Kingdom	2021-06-07	66853.235	82.447	0.015	1.44	2742.88	13.676	101.35	59.77	41.58	67886004.0	81.32
96008	United Kingdom	2021-06-08	66941.221	87.986	0.206	1.42	2754.561	10.713	102.01	59.97	42.04	67886004.0	81.32
96009	United Kingdom	2021-06-09	67049.078	107.857	0.088	1.4	2771.198	15.997	102.74	60.23	42.51	67886004.0	81.32
96010	United Kingdom	2021-06-10	67155.713	106.635	0.103	1.37	2787.158	13.922	103.49	60.53	42.96	67886004.0	81.32
96011	United Kingdom	2021-06-11	67272.968	117.255	0.25	1.37	2799.144	10.851	104.25	60.83	43.41	67886004.0	81.32
96012	United Kingdom	2021-06-12	67384.214	111.245	0.177	1.36	2807.52	7.863	105.09	61.21	43.89	67886004.0	81.32
96013	United Kingdom	2021-06-13	67492.248	108.034	0.118	1.36	2823.494	15.5	105.58	61.42	44.15	67886004.0	81.32
96014	United Kingdom	2021-06-14	67604.509	112.262	0.044	1.33	2839.162	13.701	106.12	61.62	44.5	67886004.0	81.32
96015	United Kingdom	2021-06-15	67716.373	111.864	0.147	1.32	2851.636	11.45	106.74	61.9	44.84	67886004.0	81.32
96016	United Kingdom	2021-06-16	67846.165	129.791	0.133	1.31	2868.617	16.229	107.37	62.19	45.19	67886004.0	81.32
96017	United Kingdom	2021-06-17	68005.594	159.429	0.28	1.33	2885.959	15.238	108.06	62.55	45.52	67886004.0	81.32
96018	United Kingdom	2021-06-18	68157.127	151.533	0.162	1.33	2898.546	11.655	108.69	62.88	45.82	67886004.0	81.32
96019	United Kingdom	2021-06-19	68305.552	148.425	0.206	1.34	2907.703	8.719	109.45	63.29	46.17	67886004.0	81.32
96020	United Kingdom	2021-06-20	68439.262	133.709	0.088	1.36	2925.143	16.927	109.86	63.53	46.33	67886004.0	81.32
96021	United Kingdom	2021-06-21	68593.461	154.2	0.074	1.38	2942.166	15.021	109.95	63.56	46.39	67886004.0	81.32
96022	United Kingdom	2021-06-22	68762.966	169.505	0.398	1.43	2955.271	12.102	110.76	64.0	46.76	67886004.0	81.32
96023	United Kingdom	2021-06-23	68997.816	234.85	0.28	1.47	2972.961	16.952	111.31	64.31	47.0	67886004.0	81.32
96024	United Kingdom	2021-06-24	69243.89	246.074	0.309	1.47	2990.621	15.734	111.9	64.63	47.26	67886004.0	81.32
96025	United Kingdom	2021-06-25	69470.358	226.468	0.265	1.47	3004.075	12.533	112.45	64.93	47.52	67886004.0	81.32
96026	United Kingdom	2021-06-26	69734.713	264.355	0.339	1.5	3013.77	9.166	113.09	65.28	47.82	67886004.0	81.32
96027	United Kingdom	2021-06-27	69950.265	215.553	0.162	1.52	3032.267	17.922	113.48	65.48	48.0	67886004.0	81.32
96028	United Kingdom	2021-06-28	70284.988	334.723	0.044	1.55	3050.41	16.144	113.87	65.67	48.2	67886004.0	81.32
96029	United Kingdom	2021-06-29	70583.445	298.456	0.339	1.53	3064.49	12.989	114.3	65.87	48.42	67886004.0	81.32
96030	United Kingdom	2021-06-30	70961.578	378.134	0.206	1.51	3083.727	18.438	114.76	66.08	48.68	67886004.0	81.32
96031	United Kingdom	2021-07-01	71368.82	407.242	0.324	1.47	3102.212	16.523	115.27	66.31	48.97	67886004.0	81.32
96032	United Kingdom	2021-07-02	71764.527	395.707	0.398	1.43	3116.144	12.914	115.72	66.49	49.23	67886004.0	81.32
96033	United Kingdom	2021-07-03	72124.911	360.384	0.265	1.39	3126.438	9.712	116.21	66.69	49.52	67886004.0	81.32
96034	United Kingdom	2021-07-04	72476.913	352.002	0.221	1.38	3145.844	18.805	116.49	66.81	49.68	67886004.0	81.32
96035	United Kingdom	2021-07-05	72876.2	399.287	0.133	1.35	3164.439	17.098	116.82	66.92	49.9	67886004.0	81.32
96036	United Kingdom	2021-07-06	73297.922	421.722	0.545	1.34	3179.792	14.268	117.17	67.05	50.12	67886004.0	81.32
96037	United Kingdom	2021-07-07	73770.199	472.277	0.486	1.3	3198.818	18.236	117.55	67.17	50.38	67886004.0	81.32
96398	United States	2021-01-14	70675.667	712.278	11.994	0.95	850.596	6.25	3.33	2.9	0.4	331002647.0	78.86
96399	United States	2021-01-15	71409.136	733.468	11.807	0.93	856.727	6.13	3.67	3.17	0.48	331002647.0	78.86
96403	United States	2021-01-19	73522.723	532.37	8.181	0.86	874.052	5.446	4.7	4.07	0.6	331002647.0	78.86
96404	United States	2021-01-20	74076.377	553.654	13.341	0.86	880.465	6.413	4.94	4.27	0.65	331002647.0	78.86
96405	United States	2021-01-21	74662.04	585.663	12.643	0.85	886.633	6.168	5.25	4.5	0.72	331002647.0	78.86
96406	United States	2021-01-22	75238.35	576.31	11.55	0.85	892.419	5.786	5.71	4.86	0.82	331002647.0	78.86
96407	United States	2021-01-23	75754.234	515.884	10.181	0.85	897.078	4.659	6.14	5.2	0.91	331002647.0	78.86
96408	United States	2021-01-24	76150.599	396.365	5.625	0.85	900.096	3.018	6.53	5.53	0.96	331002647.0	78.86
96409	United States	2021-01-25	76608.834	458.235	5.982	0.85	903.8	3.704	6.8	5.76	1.0	331002647.0	78.86
96410	United States	2021-01-26	77054.831	445.996	12.154	0.85	909.157	5.357	7.04	5.95	1.04	331002647.0	78.86
96411	United States	2021-01-27	77519.966	465.135	11.915	0.85	915.363	6.206	7.37	6.19	1.14	331002647.0	78.86
96412	United States	2021-01-28	78029.944	509.978	12.121	0.84	921.092	5.729	7.83	6.49	1.27	331002647.0	78.86
96413	United States	2021-01-29	78533.302	503.359	11.006	0.84	926.63	5.538	8.34	6.83	1.43	331002647.0	78.86
96414	United States	2021-01-30	78963.689	430.386	8.441	0.84	930.954	4.324	8.84	7.2	1.57	331002647.0	78.86
96415	United States	2021-01-31	79302.514	338.825	5.625	0.83	933.806	2.852	9.31	7.54	1.69	331002647.0	78.86
96416	United States	2021-02-01	79710.29	407.776	6.284	0.82	936.924	3.118	9.63	7.78	1.77	331002647.0	78.86
96417	United States	2021-02-02	80058.635	348.345	10.35	0.81	941.856	4.931	9.8	7.91	1.81	331002647.0	78.86
96418	United States	2021-02-03	80426.278	367.644	11.728	0.8	947.502	5.647	10.13	8.12	1.92	331002647.0	78.86
96419	United States	2021-02-04	80800.916	374.637	11.314	0.79	953.328	5.826	10.53	8.34	2.07	331002647.0	78.86
96420	United States	2021-02-05	81207.021	406.106	11.072	0.79	958.855	5.527	11.01	8.64	2.24	331002647.0	78.86
96421	United States	2021-02-06	81521.75	314.729	8.106	0.78	962.883	4.028	11.67	9.05	2.49	331002647.0	78.86
96422	United States	2021-02-07	81792.884	271.134	4.338	0.78	965.386	2.503	12.32	9.44	2.74	331002647.0	78.86
96423	United States	2021-02-08	82066.108	273.224	4.894	0.78	968.535	3.149	12.68	9.67	2.85	331002647.0	78.86
96424	United States	2021-02-09	82353.915	287.807	9.214	0.77	973.646	5.111	12.92	9.83	2.94	331002647.0	78.86
96425	United States	2021-02-10	82641.677	287.762	9.982	0.77	978.597	4.951	13.39	10.1	3.13	331002647.0	78.86
96426	United States	2021-02-11	82961.204	319.526	9.716	0.77	982.872	4.275	13.87	10.38	3.35	331002647.0	78.86
96427	United States	2021-02-12	83262.319	301.115	8.843	0.76	987.138	4.266	14.48	10.71	3.61	331002647.0	78.86
96428	United States	2021-02-13	83525.818	263.499	6.634	0.75	990.465	3.327	15.14	11.08	3.91	331002647.0	78.86
96429	United States	2021-02-14	83722.599	196.781	3.538	0.75	992.471	2.006	15.81	11.45	4.21	331002647.0	78.86
96431	United States	2021-02-16	84075.397	188.814	5.296	0.74	998.661	3.778	16.51	11.86	4.49	331002647.0	78.86
96432	United States	2021-02-17	84287.296	211.899	7.242	0.75	1003.104	4.443	16.83	12.04	4.63	331002647.0	78.86
96433	United States	2021-02-18	84498.506	211.21	7.601	0.77	1007.378	4.274	17.26	12.27	4.83	331002647.0	78.86
96434	United States	2021-02-19	84738.026	239.521	7.927	0.79	1011.467	4.089	17.82	12.55	5.09	331002647.0	78.86
96435	United States	2021-02-20	84954.629	216.602	5.544	0.82	1014.664	3.197	18.33	12.8	5.35	331002647.0	78.86
96436	United States	2021-02-21	85127.292	172.663	3.734	0.84	1016.73	2.066	18.86	13.05	5.64	331002647.0	78.86
96437	United States	2021-02-22	85296.955	169.663	3.985	0.85	1019.868	3.138	19.19	13.2	5.81	331002647.0	78.86
96438	United States	2021-02-23	85515.292	218.337	6.879	0.87	1024.833	4.965	19.44	13.32	5.94	331002647.0	78.86
96439	United States	2021-02-24	85741.118	225.826	9.613	0.88	1029.931	5.098	19.87	13.53	6.16	331002647.0	78.86
96440	United States	2021-02-25	85975.267	234.149	7.359	0.89	1034.798	4.868	20.41	13.78	6.45	331002647.0	78.86
96441	United States	2021-02-26	86208.948	233.681	6.278	0.89	1039.257	4.459	21.07	14.11	6.76	331002647.0	78.86
96442	United States	2021-02-27	86404.191	195.243	4.595	0.89	1042.502	3.246	21.77	14.48	7.09	331002647.0	78.86
96443	United States	2021-02-28	86559.543	155.352	3.299	0.89	1044.415	1.913	22.5	14.88	7.41	331002647.0	78.86
96444	United States	2021-03-01	86735.065	175.521	4.583	0.89	1047.417	3.002	22.99	15.17	7.61	331002647.0	78.86
96445	United States	2021-03-02	86907.565	172.5	5.87	0.88	1052.284	4.868	23.51	15.48	7.82	331002647.0	78.86
96446	United States	2021-03-03	87110.557	202.992	7.495	0.88	1057.531	5.247	24.08	15.8	8.06	331002647.0	78.86
96447	United States	2021-03-04	87316.175	205.618	5.807	0.88	1062.22	4.689	24.69	16.16	8.31	331002647.0	78.86
96448	United States	2021-03-05	87516.835	200.66	5.447	0.88	1066.541	4.321	25.42	16.61	8.58	331002647.0	78.86
96449	United States	2021-03-06	87692.827	175.993	4.562	0.88	1069.762	3.221	26.29	17.15	8.9	331002647.0	78.86
96450	United States	2021-03-07	87816.914	124.087	2.121	0.88	1071.602	1.839	27.02	17.6	9.18	331002647.0	78.86
96451	United States	2021-03-08	87952.614	135.7	2.227	0.88	1074.551	2.949	27.54	17.94	9.42	331002647.0	78.86
96452	United States	2021-03-09	88126.833	174.219	5.456	0.9	1079.204	4.653	28.01	18.27	9.6	331002647.0	78.86
96453	United States	2021-03-10	88301.741	174.908	4.743	0.9	1084.077	4.873	28.62	18.67	9.84	331002647.0	78.86
96454	United States	2021-03-11	88490.474	188.733	4.707	0.91	1088.598	4.521	29.36	19.16	10.13	331002647.0	78.86
96455	United States	2021-03-12	88676.312	185.838	4.665	0.92	1092.822	4.224	30.24	19.72	10.47	331002647.0	78.86
96456	United States	2021-03-13	88836.525	160.213	3.112	0.93	1095.918	3.095	31.61	20.6	11.04	331002647.0	78.86
96457	United States	2021-03-14	88952.168	115.643	1.764	0.95	1097.666	1.749	32.01	20.87	11.2	331002647.0	78.86
96458	United States	2021-03-15	89122.985	170.817	2.26	0.96	1100.525	2.858	32.62	21.25	11.46	331002647.0	78.86
96459	United States	2021-03-16	89286.15	163.165	3.565	0.96	1105.043	4.518	33.11	21.57	11.67	331002647.0	78.86
96460	United States	2021-03-17	89465.242	179.092	3.701	0.96	1109.923	4.88	33.8	22.03	11.96	331002647.0	78.86
96461	United States	2021-03-18	89647.643	182.4	4.973	0.97	1114.373	4.45	34.6	22.57	12.25	331002647.0	78.86
96462	United States	2021-03-19	89833.898	186.255	3.405	0.98	1118.428	4.055	35.38	23.09	12.54	331002647.0	78.86
96463	United States	2021-03-20	90001.628	167.73	2.233	1.0	1121.417	2.988	36.31	23.73	12.87	331002647.0	78.86
96464	United States	2021-03-21	90103.808	102.18	1.474	1.01	1123.27	1.853	37.22	24.34	13.2	331002647.0	78.86
96465	United States	2021-03-22	90259.203	155.395	2.178	1.03	1126.21	2.94	37.83	24.75	13.43	331002647.0	78.86
96466	United States	2021-03-23	90421.401	162.198	2.643	1.06	1130.821	4.611	38.34	25.1	13.61	331002647.0	78.86
96467	United States	2021-03-24	90684.051	262.65	4.562	1.1	1135.816	4.995	39.01	25.56	13.86	331002647.0	78.86
96468	United States	2021-03-25	90888.116	204.065	4.233	1.09	1140.177	4.361	39.86	26.12	14.18	331002647.0	78.86
96469	United States	2021-03-26	91121.882	233.766	3.477	1.09	1144.32	4.143	40.87	26.78	14.56	331002647.0	78.86
96470	United States	2021-03-27	91311.735	189.853	2.402	1.08	1147.335	3.015	41.91	27.42	14.99	331002647.0	78.86
96471	United States	2021-03-28	91442.317	130.582	1.586	1.08	1149.216	1.881	42.9	28.0	15.43	331002647.0	78.86
96472	United States	2021-03-29	91651.599	209.282	2.136	1.07	1152.254	3.038	43.6	28.41	15.73	331002647.0	78.86
96473	United States	2021-03-30	91837.184	185.585	2.671	1.06	1156.877	4.623	44.13	28.72	15.97	331002647.0	78.86
96474	United States	2021-03-31	92038.889	201.705	3.251	1.04	1161.643	4.766	44.93	29.18	16.33	331002647.0	78.86
96475	United States	2021-04-01	92277.918	239.028	3.254	1.05	1165.99	4.348	45.94	29.77	16.77	331002647.0	78.86
96476	United States	2021-04-02	92489.055	211.137	2.879	1.04	1170.042	4.052	47.13	30.44	17.34	331002647.0	78.86
96477	United States	2021-04-03	92680.174	191.119	2.266	1.04	1172.968	2.926	48.35	31.16	17.9	331002647.0	78.86
96478	United States	2021-04-04	92786.315	106.141	0.897	1.04	1174.67	1.702	49.35	31.76	18.36	331002647.0	78.86
96479	United States	2021-04-05	93020.162	233.847	1.529	1.05	1177.525	2.855	49.99	32.15	18.66	331002647.0	78.86
96480	United States	2021-04-06	93203.466	183.304	2.598	1.05	1182.203	4.678	50.41	32.38	18.84	331002647.0	78.86
96481	United States	2021-04-07	93430.114	226.648	7.834	1.06	1187.226	5.023	51.27	32.89	19.26	331002647.0	78.86
96482	United States	2021-04-08	93671.484	241.37	3.103	1.06	1191.789	4.563	52.29	33.5	19.8	331002647.0	78.86
96483	United States	2021-04-09	93921.361	249.877	2.692	1.06	1196.159	4.37	53.47	34.22	20.39	331002647.0	78.86
96484	United States	2021-04-10	94122.83	201.47	2.151	1.05	1199.208	3.048	54.86	35.03	21.14	331002647.0	78.86
96485	United States	2021-04-11	94263.34	140.509	0.921	1.05	1201.15	1.942	55.93	35.65	21.72	331002647.0	78.86
96486	United States	2021-04-12	94475.045	211.705	1.435	1.04	1204.321	3.171	56.72	36.13	22.15	331002647.0	78.86
96487	United States	2021-04-13	94710.59	235.545	2.514	1.03	1209.174	4.853	57.49	36.57	22.52	331002647.0	78.86
96488	United States	2021-04-14	94938.392	227.802	2.882	1.01	1214.212	5.038	58.24	37.05	22.93	331002647.0	78.86
96489	United States	2021-04-15	95162.886	224.494	2.731	0.99	1218.674	4.462	59.3	37.62	23.47	331002647.0	78.86
96490	United States	2021-04-16	95404.79	241.904	2.653	0.97	1223.048	4.374	60.48	38.2	24.1	331002647.0	78.86
96491	United States	2021-04-17	95563.496	158.706	2.115	0.95	1226.086	3.037	61.56	38.72	24.66	331002647.0	78.86
96492	United States	2021-04-18	95690.748	127.253	1.018	0.95	1227.932	1.846	62.61	39.24	25.2	331002647.0	78.86
96493	United States	2021-04-19	95896.502	205.754	1.511	0.94	1230.995	3.063	63.26	39.56	25.52	331002647.0	78.86
96494	United States	2021-04-20	96080.636	184.134	2.544	0.92	1235.719	4.724	63.8	39.85	25.78	331002647.0	78.86
96495	United States	2021-04-21	96270.529	189.893	2.598	0.91	1240.696	4.978	64.57	40.2	26.19	331002647.0	78.86
96496	United States	2021-04-22	96473.784	203.255	2.924	0.9	1245.198	4.501	65.47	40.6	26.68	331002647.0	78.86
96497	United States	2021-04-23	96662.336	188.551	2.347	0.89	1249.444	4.246	66.48	41.03	27.26	331002647.0	78.86
96498	United States	2021-04-24	96823.951	161.615	2.269	0.88	1252.441	2.997	67.47	41.46	27.83	331002647.0	78.86
96499	United States	2021-04-25	96921.089	97.138	0.885	0.88	1254.219	1.778	68.37	41.85	28.34	331002647.0	78.86
96500	United States	2021-04-26	97064.798	143.709	1.48	0.87	1257.221	3.002	69.0	42.15	28.67	331002647.0	78.86
96501	United States	2021-04-27	97218.38	153.582	1.976	0.87	1261.958	4.738	69.49	42.38	28.93	331002647.0	78.86
96502	United States	2021-04-28	97384.995	166.615	2.924	0.87	1266.707	4.748	70.16	42.67	29.32	331002647.0	78.86
96503	United States	2021-04-29	97560.978	175.983	2.647	0.87	1270.977	4.27	70.97	43.0	29.8	331002647.0	78.86
96504	United States	2021-04-30	97735.959	174.98	2.263	0.88	1274.932	3.956	71.81	43.32	30.32	331002647.0	78.86
96505	United States	2021-05-01	97873.09	137.132	2.16	0.88	1277.655	2.723	72.8	43.73	30.92	331002647.0	78.86
96506	United States	2021-05-02	97961.921	88.83	1.018	0.87	1279.228	1.573	73.43	43.97	31.33	331002647.0	78.86
96507	United States	2021-05-03	98114.46	152.54	1.52	0.86	1281.921	2.692	73.79	44.11	31.55	331002647.0	78.86
96508	United States	2021-05-04	98237.489	123.029	2.64	0.84	1286.202	4.281	74.08	44.22	31.75	331002647.0	78.86
96509	United States	2021-05-05	98372.546	135.056	2.402	0.83	1290.8	4.599	74.62	44.42	32.1	331002647.0	78.86
96510	United States	2021-05-06	98516.221	143.676	2.408	0.83	1294.739	3.939	75.34	44.69	32.57	331002647.0	78.86
96511	United States	2021-05-07	98661.628	145.407	2.293	0.82	1298.278	3.538	76.18	44.98	33.15	331002647.0	78.86
96512	United States	2021-05-08	98763.364	101.736	1.903	0.82	1300.842	2.564	76.95	45.24	33.68	331002647.0	78.86
